state,date,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
MN,20200516,14240.0,120429.0,,498.0,1985.0,200.0,679.0,,,8820.0,A+,5/14/2020 17:00,a8da5e0e7220e8b11b9ab9294060f3e9c02da02b,2020-05-16T20:00:00Z,692.0,1985.0,134669,134669,134669,27,0.0,0.0,0.0,0.0,0.0
MO,20200516,10456.0,124002.0,,812.0,,,,120.0,,,B,5/15/2020 15:00,1ff18095918dc14944f63604e60e85fa72078b96,2020-05-16T20:00:00Z,576.0,,134458,134458,134458,29,0.0,0.0,0.0,0.0,0.0
MS,20200516,10801.0,96022.0,,573.0,1712.0,172.0,,81.0,,6268.0,A,5/14/2020 19:00,26aaec58357fb157c1ea145325d06fa42ee9ce2c,2020-05-16T20:00:00Z,493.0,1712.0,106823,106823,106823,28,0.0,0.0,0.0,0.0,0.0
MT,20200516,466.0,24952.0,,3.0,63.0,,,,,431.0,B,5/15/2020 00:00,375e38d9d99b09de0f1c1f4f2842e25747c5988e,2020-05-16T20:00:00Z,16.0,63.0,25418,25418,25418,30,0.0,0.0,0.0,0.0,0.0
NC,20200516,17129.0,214418.0,,492.0,,,,,,9115.0,A,5/15/2020 11:00,10fb6fdf171688f5f7a118e89ea9cd8131c83326,2020-05-16T20:00:00Z,641.0,,231547,231547,231547,37,0.0,0.0,0.0,0.0,0.0
ND,20200516,1761.0,49954.0,,35.0,130.0,,,,,1071.0,C,5/15/2020 13:00,5417534bfed9db9c878acb6047f3589ea6ab32ff,2020-05-16T20:00:00Z,42.0,130.0,51715,51715,51715,38,0.0,0.0,0.0,0.0,0.0
NE,20200516,9416.0,47799.0,,,,,,,,,C,5/14/2020 15:45,a389b8a3d96b6cfb27cefc666c282dcf3fe319d7,2020-05-16T20:00:00Z,113.0,,57215,57215,57215,31,0.0,0.0,0.0,0.0,0.0
NH,20200516,3464.0,39148.0,543.0,115.0,335.0,,109.0,,,1247.0,B,5/14/2020 09:00,be550cdc0c51c3d658043c6440251a57a5a7efc4,2020-05-16T20:00:00Z,159.0,335.0,43155,42612,42612,33,0.0,0.0,0.0,0.0,0.0
NJ,20200516,143905.0,319067.0,,3823.0,,1127.0,,865.0,,15642.0,A+,5/15/2020 13:00,06ca7c12ded1296baeabdfa0a6077a0b127f7568,2020-05-16T20:00:00Z,10138.0,,462972,462972,462972,34,0.0,0.0,0.0,0.0,0.0
NM,20200516,5503.0,114098.0,,209.0,886.0,,,,,1576.0,C,5/14/2020 17:55,767b09a339e1a2ad50e112f5338379a71746000a,2020-05-16T20:00:00Z,242.0,886.0,119601,119601,119601,35,0.0,0.0,0.0,0.0,0.0
NV,20200516,6614.0,65532.0,,425.0,,115.0,,73.0,,272.0,B,5/15/2020 12:00,e8f3de9e3ee27f25af729590ef81ed9d4d6651e0,2020-05-16T20:00:00Z,339.0,,72146,72146,72146,32,0.0,0.0,0.0,0.0,0.0
NY,20200516,345813.0,992235.0,,6394.0,74751.0,2156.0,,1774.0,,60302.0,A,5/14/2020 00:00,722c9e8779bffb33711b53aa581198ddfb9fc3e0,2020-05-16T20:00:00Z,22304.0,74751.0,1338048,1338048,1338048,36,0.0,0.0,0.0,0.0,0.0
OH,20200516,26954.0,219228.0,,944.0,4791.0,370.0,1277.0,260.0,,,B,5/15/2020 14:00,1549de49e89f045b6cbc400a9567f27ca940c61a,2020-05-16T20:00:00Z,1581.0,4791.0,246182,246182,246182,39,0.0,0.0,0.0,0.0,0.0
OK,20200516,5086.0,113106.0,,215.0,863.0,98.0,,,,3801.0,A+,5/15/2020 00:00,c7a25b0278b773978d7595a238e6b03f88df350a,2020-05-16T20:00:00Z,285.0,863.0,118192,118192,118192,40,0.0,0.0,0.0,0.0,0.0
OR,20200516,3541.0,85965.0,,161.0,691.0,46.0,,19.0,,1406.0,A+,5/15/2020 11:00,9442430e532ab477935e42f165955ef5273fa6b3,2020-05-16T20:00:00Z,137.0,691.0,89506,89506,89506,41,0.0,0.0,0.0,0.0,0.0
PA,20200516,60622.0,259210.0,,1934.0,,,,431.0,,,C,5/15/2020 00:00,6d3ceb66773d586f8cd0eda3d399a2babd1a63c1,2020-05-16T20:00:00Z,4342.0,,319832,319832,319832,42,0.0,0.0,0.0,0.0,0.0
RI,20200516,12219.0,92759.0,,272.0,1372.0,63.0,,41.0,,919.0,A+,5/15/2020 12:00,4e9a69682885ee6d6850090cf6172c17d63fccc6,2020-05-16T20:00:00Z,479.0,1372.0,104978,104978,104978,44,0.0,0.0,0.0,0.0,0.0
SC,20200516,8407.0,101209.0,,,1421.0,,,,,5076.0,A,5/15/2020 16:00,540817a2c53e356d3d1273c72b424dc322e7782a,2020-05-16T20:00:00Z,380.0,1421.0,109616,109616,109616,45,0.0,0.0,0.0,0.0,0.0
SD,20200516,3887.0,23527.0,,80.0,296.0,,,,,2574.0,B,5/14/2020 18:00,05c61c3829a254b5ed77b9db1a84e136afef3021,2020-05-16T20:00:00Z,44.0,296.0,27414,27414,27414,46,0.0,0.0,0.0,0.0,0.0
TN,20200516,16970.0,292786.0,,,1454.0,,,,,9280.0,A,5/15/2020 15:00,f03eefafcb65e920d0d8a56bf5097efdbcecb9f9,2020-05-16T20:00:00Z,290.0,1454.0,309756,309756,309756,47,0.0,0.0,0.0,0.0,0.0
TX,20200516,45198.0,600794.0,,1716.0,,,,,,25454.0,A,5/15/2020 16:15,bdafdafbd9ebf9785d423353139896fe9d621423,2020-05-16T20:00:00Z,1272.0,,645992,645992,645992,48,0.0,0.0,0.0,0.0,0.0
UT,20200516,6913.0,156305.0,,161.0,566.0,,190.0,,83.0,3719.0,B,5/15/2020 10:27,ea8b232b5cf1a769eedbaa68b4ff01ab0b8ce910,2020-05-16T20:00:00Z,77.0,566.0,163218,163218,163218,49,0.0,0.0,0.0,0.0,0.0
VA,20200516,28672.0,149342.0,458.0,1511.0,5316.0,362.0,,195.0,,3805.0,A+,5/14/2020 17:00,d55208517c2129d886a1542198ac476183dbda19,2020-05-16T20:00:00Z,977.0,5316.0,178472,178014,178014,51,0.0,0.0,0.0,0.0,0.0
VT,20200516,933.0,22272.0,,17.0,,,,,,796.0,B,5/15/2020 00:00,4b978b7a948932eb585b70df3ba7ea5a0e9cc642,2020-05-16T20:00:00Z,53.0,,23205,23205,23205,50,0.0,0.0,0.0,0.0,0.0
WA,20200516,17773.0,250158.0,,374.0,,114.0,,,,,A,5/14/2020 02:59,94cfab8520aba8da68f0fb55a43055ec8330fdf1,2020-05-16T20:00:00Z,983.0,,267931,267931,267931,53,0.0,0.0,0.0,0.0,0.0
WI,20200516,11685.0,128657.0,191.0,548.0,1977.0,113.0,485.0,,,6250.0,A+,5/15/2020 00:00,aa025ac25e817cb58121252323732858017d5524,2020-05-16T20:00:00Z,445.0,1977.0,140533,140342,140342,55,0.0,0.0,0.0,0.0,0.0
WV,20200516,1441.0,69495.0,,57.0,,15.0,,8.0,,870.0,B,5/15/2020 10:00,13a4bf9cde4224ef8c9e8ff720b7f55883ffb1af,2020-05-16T20:00:00Z,62.0,,70936,70936,70936,54,0.0,0.0,0.0,0.0,0.0
WY,20200516,715.0,15307.0,,8.0,68.0,,,,,487.0,B,5/14/2020 00:00,bc369388b9696ec084afe6a7163c683ec17f4bcc,2020-05-16T20:00:00Z,7.0,68.0,16022,16022,16022,56,0.0,0.0,0.0,0.0,0.0
