state,date,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
HI,20200514,638.0,38243.0,,,81.0,,,,,563.0,B,5/13/2020 18:00,ead9c2c5ac72338b889240aac5358950e79dbeae,2020-05-14T20:00:00Z,17.0,81.0,38881,38881,38881,15,0.0,0.0,513.0,3.0,516.0
IA,20200514,13675.0,75619.0,,405.0,,134.0,,93.0,,6231.0,A+,5/13/2020 00:00,132d33d134340bb424885e8380e609b02dd8752a,2020-05-14T20:00:00Z,318.0,,89294,89294,89294,19,12.0,0.0,3189.0,386.0,3575.0
ID,20200514,2324.0,31430.0,,,212.0,,88.0,,,1557.0,B,5/13/2020 19:00,51b8808ae7a6e446afd5580dd162e24c302fdfdd,2020-05-14T20:00:00Z,69.0,212.0,33754,33754,33754,16,0.0,-2.0,595.0,31.0,626.0
IL,20200514,87937.0,424100.0,,4473.0,,1132.0,,689.0,,,A,5/14/2020 00:00,a876c20dbff144e5f0e79d1938b9715f87ac6b40,2020-05-14T20:00:00Z,3928.0,,512037,512037,512037,17,136.0,0.0,19439.0,3239.0,22678.0
IN,20200514,26053.0,134186.0,,1381.0,4389.0,488.0,990.0,217.0,,,A+,5/13/2020 23:59,6c625a3b8e3a729824c368ea58f1b9b2c39a4ddc,2020-05-14T20:00:00Z,1646.0,4389.0,160239,160239,160239,18,27.0,0.0,5576.0,580.0,6156.0
KS,20200514,7468.0,50160.0,,,704.0,,238.0,,108.0,422.0,A,5/13/2020 10:00,9336495b809672bcb93b80eff453b9ffacdf9046,2020-05-14T20:00:00Z,164.0,704.0,57628,57628,57628,20,0.0,0.0,0.0,0.0,0.0
KY,20200514,7080.0,110315.0,,377.0,1835.0,215.0,784.0,,,2649.0,A+,5/13/2020 17:00,974c86ea643c02fbba54fa1c3d4c9a722df886bf,2020-05-14T20:00:00Z,326.0,1835.0,117395,117395,117395,21,5.0,10.0,6534.0,227.0,6761.0
LA,20200514,33489.0,214099.0,,1193.0,,,,140.0,,22608.0,B,5/14/2020 13:00,d4c7186772b7c37de7ad8a1263e57da38205e75d,2020-05-14T20:00:00Z,2417.0,,247588,247588,247588,22,36.0,0.0,8857.0,827.0,9684.0
MA,20200514,80497.0,329535.0,,3101.0,8032.0,794.0,,,,,A+,5/13/2020 10:00,2184c164eb76c02ed3d6cc5e37e99952ba39847b,2020-05-14T20:00:00Z,5315.0,8032.0,410032,410032,410032,25,0.0,0.0,0.0,0.0,0.0
MD,20200514,35903.0,142551.0,,1538.0,6553.0,569.0,,,,2569.0,,5/14/2020 10:00,6f833fc13c26af144289698bd73562356958fcc0,2020-05-14T20:00:00Z,1866.0,6553.0,178454,178454,178454,24,57.0,149.0,3789.0,1091.0,4880.0
ME,20200514,1565.0,22092.0,,37.0,207.0,18.0,,7.0,,958.0,B,5/14/2020 12:30,c9e3bd1005fd7a9893bcdd12f8ba68b6f1f71d3c,2020-05-14T20:00:00Z,69.0,207.0,23657,23657,23657,23,3.0,3.0,0.0,50.0,50.0
MI,20200514,49582.0,286301.0,,1330.0,,653.0,,515.0,,22686.0,A+,5/14/2020 11:00,728134334478e07a42d3e0e291ec3f7c0293d756,2020-05-14T20:00:00Z,4787.0,,335883,335883,335883,26,73.0,0.0,26432.0,1191.0,27623.0
MN,20200514,13435.0,115317.0,,498.0,1915.0,203.0,663.0,,,8473.0,A+,5/13/2020 17:00,ac8a7a1ac321ed491129848882ce0bb688ec72e5,2020-05-14T20:00:00Z,663.0,1915.0,128752,128752,128752,27,25.0,64.0,6199.0,518.0,6717.0
MO,20200514,10317.0,116793.0,,796.0,,,,115.0,,,B,5/14/2020 15:00,973eabc5c0120a25364c84d49207a1a0e8fed7a8,2020-05-14T20:00:00Z,562.0,,127110,127110,127110,29,20.0,0.0,2793.0,175.0,2968.0
MS,20200514,10483.0,94843.0,,589.0,1667.0,131.0,,72.0,,6268.0,A,5/13/2020 19:00,113111017b63e87323c208beee6256a988b5efb6,2020-05-14T20:00:00Z,480.0,1667.0,105326,105326,105326,28,15.0,51.0,4885.0,393.0,5278.0
MT,20200514,462.0,24087.0,,3.0,63.0,,,,,431.0,B,5/14/2020 00:00,cd4417db3e0c03025a90d79157fa5ca3dcea6372,2020-05-14T20:00:00Z,16.0,63.0,24549,24549,24549,30,0.0,0.0,697.0,0.0,697.0
NC,20200514,16507.0,202761.0,,507.0,,,,,,9115.0,A,5/14/2020 11:00,1ec07a85eac921f142afb5c7a7428f2109300cf1,2020-05-14T20:00:00Z,615.0,,219268,219268,219268,37,18.0,0.0,8120.0,691.0,8811.0
ND,20200514,1647.0,48599.0,,38.0,129.0,,,,,1007.0,C,5/14/2020 13:00,0b141c449c1b04fdfeb11c7fbb05245f0f8387f4,2020-05-14T20:00:00Z,40.0,129.0,50246,50246,50246,38,0.0,2.0,1301.0,0.0,1301.0
NE,20200514,9075.0,44266.0,,,,,,,,,C,5/13/2020 20:00,8e26a97f89cbcf4abc6a04c143417b5fcc9e55a9,2020-05-14T20:00:00Z,107.0,,53341,53341,53341,31,4.0,0.0,3233.0,383.0,3616.0
NH,20200514,3299.0,35876.0,735.0,126.0,326.0,,97.0,,,1236.0,B,5/13/2020 09:00,a2354a712234d8d44acbf4b67920df1c8689bc0d,2020-05-14T20:00:00Z,150.0,326.0,39910,39175,39175,33,8.0,7.0,1899.0,60.0,1959.0
NJ,20200514,142704.0,308992.0,,3958.0,,1157.0,,898.0,,15642.0,A+,5/14/2020 13:00,3bbe31c305d3d528719662b3798df23dc133f3f2,2020-05-14T20:00:00Z,9946.0,,451696,451696,451696,34,244.0,0.0,9102.0,1144.0,10246.0
NM,20200514,5364.0,109647.0,,200.0,886.0,,,,,1515.0,C,5/13/2020 20:20,d25b02d05f9c15802c397707d99d1705250d04d9,2020-05-14T20:00:00Z,231.0,886.0,115011,115011,115011,35,12.0,0.0,4570.0,152.0,4722.0
NV,20200514,6499.0,62985.0,,515.0,,126.0,,75.0,,244.0,B,5/14/2020 12:00,60c5110fdf243000ca8f3249205b7f3839f45104,2020-05-14T20:00:00Z,331.0,,69484,69484,69484,32,10.0,0.0,2707.0,105.0,2812.0
NY,20200514,343051.0,955706.0,,6706.0,74433.0,2223.0,,1846.0,,59758.0,A,5/14/2020 00:00,d1e88d9c65cc15cd5d79fa8b1ff1d1c8579f3c5f,2020-05-14T20:00:00Z,22170.0,74433.0,1298757,1298757,1298757,36,157.0,470.0,37460.0,2390.0,39850.0
OH,20200514,26357.0,206995.0,,953.0,4718.0,360.0,1268.0,253.0,,,B,5/14/2020 14:00,8cb4d6353252db8a65a52452a1c1610c590c636d,2020-05-14T20:00:00Z,1534.0,4718.0,233352,233352,233352,39,51.0,100.0,6862.0,636.0,7498.0
OK,20200514,4962.0,107221.0,,217.0,858.0,102.0,,,,3660.0,A+,5/14/2020 00:00,b6161bd93c9bba3b0484642f6224df4d5c837071,2020-05-14T20:00:00Z,284.0,858.0,112183,112183,112183,40,6.0,10.0,2946.0,110.0,3056.0
OR,20200514,3479.0,80571.0,,163.0,685.0,38.0,,17.0,,1406.0,A+,5/14/2020 11:00,e93183106b451a5d42982483bab37114bf785371,2020-05-14T20:00:00Z,137.0,685.0,84050,84050,84050,41,3.0,7.0,0.0,63.0,63.0
PA,20200514,59636.0,251559.0,,1983.0,,,,446.0,,,C,5/14/2020 00:00,2705d062b62ed8fe149e4a5c3fee9b136163108a,2020-05-14T20:00:00Z,4218.0,,311195,311195,311195,42,275.0,0.0,7388.0,938.0,8326.0
RI,20200514,12016.0,89585.0,,271.0,1351.0,65.0,,42.0,,903.0,A+,5/14/2020 12:00,3817955f87e430acd4f8aeeb10b3542de4d07e0c,2020-05-14T20:00:00Z,468.0,1351.0,101601,101601,101601,44,6.0,23.0,3498.0,181.0,3679.0
SC,20200514,8189.0,94346.0,,,1338.0,,,,,4914.0,A,5/14/2020 15:34,db68b8034fbc75e17c75c7a79890ecc538b49bc5,2020-05-14T20:00:00Z,371.0,1338.0,102535,102535,102535,45,16.0,0.0,9133.0,262.0,9395.0
SD,20200514,3792.0,22681.0,,85.0,290.0,,,,,2437.0,B,5/13/2020 18:00,2ebb501ba6f33a29893f01274a8ae7a83f02aa52,2020-05-14T20:00:00Z,43.0,290.0,26473,26473,26473,46,4.0,9.0,569.0,60.0,629.0
TN,20200514,16699.0,285618.0,,,1435.0,,,,,8881.0,A,5/14/2020 15:00,a344fd94720a960c94d1d106287801b03dcfeb48,2020-05-14T20:00:00Z,287.0,1435.0,302317,302317,302317,47,14.0,47.0,9071.0,329.0,9400.0
TX,20200514,43851.0,579433.0,,1648.0,,,,,,24487.0,A,5/14/2020 16:30,079503d0ff0282cf02e23eafef7222e841c55677,2020-05-14T20:00:00Z,1216.0,,623284,623284,623284,48,58.0,0.0,34405.0,1448.0,35853.0
UT,20200514,6749.0,153370.0,,142.0,558.0,,187.0,,83.0,3566.0,B,5/14/2020 10:07,1eed6f28aaf2ab2567abde09ec15967882cb73e1,2020-05-14T20:00:00Z,75.0,558.0,160119,160119,160119,49,0.0,5.0,3204.0,129.0,3333.0
VA,20200514,27813.0,139017.0,496.0,1533.0,5211.0,355.0,,201.0,,3678.0,A+,5/13/2020 17:00,d718e85fd7b1a662fb8937f10ee43e938f3a6b7b,2020-05-14T20:00:00Z,955.0,5211.0,167326,166830,166830,51,28.0,131.0,4371.0,1067.0,5438.0
VT,20200514,932.0,21573.0,,18.0,,,,,,792.0,B,5/14/2020 00:00,55ca549126a7637b60fdde3005f1a6dcd8e5299f,2020-05-14T20:00:00Z,53.0,,22505,22505,22505,50,0.0,0.0,826.0,3.0,829.0
WA,20200514,17512.0,243568.0,,365.0,,111.0,,,,,A,5/13/2020 02:59,d1f39de13136bf5f93df0615033061686ddb3657,2020-05-14T20:00:00Z,975.0,,261080,261080,261080,53,13.0,0.0,4577.0,182.0,4759.0
WI,20200514,11275.0,122598.0,169.0,507.0,1939.0,121.0,478.0,,,5994.0,A+,5/14/2020 00:00,e1da001e0870bc0c814799abcd939f859c6f3ab0,2020-05-14T20:00:00Z,434.0,1939.0,134042,133873,133873,55,13.0,31.0,5487.0,373.0,5860.0
WV,20200514,1427.0,67286.0,,52.0,,9.0,,5.0,,870.0,B,5/14/2020 10:00,fb56528146ff63b89433d64c35bc8b8a230cd901,2020-05-14T20:00:00Z,60.0,,68713,68713,68713,54,2.0,0.0,2004.0,29.0,2033.0
WY,20200514,701.0,14729.0,,8.0,67.0,,,,,480.0,B,5/14/2020 00:00,2c39ee8aebd346ddf047dcd3185f744bc00855e1,2020-05-14T20:00:00Z,7.0,67.0,15430,15430,15430,56,0.0,0.0,345.0,26.0,371.0
