date,state,update_time,last_check,positives_total,positives_white,positives_black,positives_latinx,positives_asian,positives_aiain,positives_nhpi,positives_multiracial,positives_other,positives_race_unknown,positives_percent_race_unknown,positives_hispanic,positives_nonhispanic,positives_ethnicity_unknown,positives_percent_ethnicity_unknown,total_deaths,deaths_white,deaths_black,deaths_latinx,deaths_asian,deaths_aian,deaths_nhpi,deaths_multiracial,deaths_other,deaths_race_unknown,deaths_percent_race_unknown,deaths_hispanic,deaths_nonhispanic,deaths_ethnicity_unknown,deaths_percent_ethnicity_unknown,negatives_white,negatives_black,negatives_latinx,negatives_asian,negatives_aian,negatives_nhpi,negatives_multiracial,negatives_other,negatives_race_unknown,negatives_percent_race_unknown,negatives_hispanic,negatives_nonhispanic,negatives_ethnicity_unknown,negatives_percent_ethnicity_unknown,,,,,,,,,,,,,,,,,,,
20200610,MA,6/10/20 10:00,6/10/20 22:34,104156,30413,9686,19581,2083,,,,5207,37183,36%,19581,47389,37183,36%,7454,5463,618,499,193,,,,514,163,2%,499,6788,163,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200610,MD,6/10/20 10:00,6/10/20 22:44,59465,11718,17214,16006,1140,,,,3085,10302,17%,16006,33157,10302,17%,2844,1219,1165,276,109,,,,31,44,2%,276,2524,44,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200610,ME,6/10/20 12:00,6/10/20 23:02,2637,1611,560,,36,6,1,12,54,357,14%,74,2007,556,21%,100,87,1,,,,,,1,11,11%,0,81,19,19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200610,MI,6/10/20 0:00,6/10/20 23:28,65182,24446,19269,,1448,242,,4562,3523,11692,18%,4562,41716,18902,29%,5955,3059,2369,,77,19,,96,114,221,4%,119,4883,952,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200610,MN,6/9/20 17:00,6/10/20 23:34,28869,10152,6342,,1957,231,70,574,3735,5808,20%,6326,16238,6305,22%,1267,753,78,,37,14,1,7,14,332,27%,35,810,391,32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200610,MO,6/10/20 15:00,6/10/20 23:33,15187,6612,4703,,,,,359,999,2511,17%,1398,10082,3704,24%,848,494,296,,,,,7,23,26,3%,18,729,99,12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200610,MP,6/11/20 0:00,6/10/20 22:36,30,,,,,,,,,30,100%,,,,,2,,,,,,,,,2,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200610,MS,6/9/20 19:00,6/10/20 22:38,18483,5090,9887,1032,60,898,,,656,860,5%,1032,14461,2990,16%,868,363,444,13,0,41,,,3,4,0%,13,808,47,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200610,MT,6/10/20 12:00,6/10/20 22:41,561,471,2,,1,73,,,4,10,2%,37,494,30,5%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200610,NC,6/10/20 11:50,6/10/20 22:46,38171,14636,7400,,699,267,102,,4197,10870,28%,11143,15118,11910,31%,1053,613,343,,15,6,3,,45,28,3%,66,942,45,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
