date,state,update_time,last_check,positives_total,positives_white,positives_black,positives_latinx,positives_asian,positives_aiain,positives_nhpi,positives_multiracial,positives_other,positives_race_unknown,positives_percent_race_unknown,positives_hispanic,positives_nonhispanic,positives_ethnicity_unknown,positives_percent_ethnicity_unknown,total_deaths,deaths_white,deaths_black,deaths_latinx,deaths_asian,deaths_aian,deaths_nhpi,deaths_multiracial,deaths_other,deaths_race_unknown,deaths_percent_race_unknown,deaths_hispanic,deaths_nonhispanic,deaths_ethnicity_unknown,deaths_percent_ethnicity_unknown,negatives_white,negatives_black,negatives_latinx,negatives_asian,negatives_aian,negatives_nhpi,negatives_multiracial,negatives_other,negatives_race_unknown,negatives_percent_race_unknown,negatives_hispanic,negatives_nonhispanic,negatives_ethnicity_unknown,negatives_percent_ethnicity_unknown,,,,,,,,,,,,,,,,,,,
20200607,OR,6/7/20 3:01,6/7/20 22:35,4808,2161,125,,159,104,82,84,1369,724,15%,1594,2522,692,14%,164,122,6,,7,3,2,2,11,11,7%,17,131,16,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,PA,6/7/20 11:00,6/7/20 22:22,75592,21375,9399,,1123,,,,486,43209,57%,5800,14700,55092,73%,5943,4245,1216,,142,,,,283,57,1%,336,5550,57,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,PR,6/7/20 16:58,6/7/20 22:31,4985,,,,,,,,,4985,100%,,,,,142,,,,,,,,,142,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,RI,6/5/20 12:00,6/7/20 22:36,15441,4052,1399,5009,,,,287,416,4278,28%,5009,6154,4278,28%,772,507,37,69,,,,0,7,152,20%,69,551,152,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,SC,6/5/20 16:50,6/7/20 22:27,14286,4965,5086,,242,,,,968,3144,22%,1602,8384,4298,30%,546,256,224,,5,,,,5,54,10%,10,430,105,19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,SD,6/6/20 18:00,6/7/20 22:20,5438,1701,924,944,634,604,,,631,0,0%,944,4494,0,,65,,,,,,,,,65,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,TN,6/7/20 15:00,6/7/20 22:16,26381,11315,5858,,441,,,,3837,4930,19%,6273,12673,7435,28%,418,231,142,,8,,,,22,15,4%,32,358,28,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,TX,6/7/20 10:30,6/7/20 21:18,74978,4174,2413,6034,503,,,,97,61757,82%,6034,7187,61757,82%,1830,269,85,171,13,,,,5,1287,70%,171,372,1287,70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,UT,6/7/20 15:00,6/7/20 21:23,12066,4283,410,,295,398,473,,1358,1402,16%,4921,5743,1402,12%,121,,,,,,,,,121,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,VA,6/6/20 17:00,6/7/20 21:27,50681,15733,6988,,,,,,11394,16566,33%,16606,16554,17521,35%,1472,820,300,,,,,,176,176,12%,142,1063,267,18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,VI,6/7/20 18:33,6/7/20 21:31,71,,,,,,,,,71,100%,,,,,6,,,,,,,,,6,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,VT,6/7/20 10:52,6/7/20 21:38,1063,916,74,,26,2,,,11,34,3%,27,927,109,10%,55,52,,,2,,,,1,0,0%,0,55,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,WA,6/7/20 2:59,6/6/20 21:47,23729,6327,1091,6931,1202,236,446,306,320,6870,29%,6931,9928,6870,29%,1159,778,35,119,105,12,10,15,23,62,5%,119,978,62,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,WI,6/7/20 0:00,6/7/20 21:51,20835,10820,3976,,783,220,,,2700,2336,11%,6981,11309,2545,12%,647,441,161,,17,9,,,8,11,2%,68,564,15,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,WV,6/7/20 17:00,6/7/20 21:55,2144,1691,146,,,,,,307,0,0%,,,,,84,58,3,,,,,,,23,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,WY,6/7/20 11:52,6/7/20 21:58,734,355,8,83,5,248,,,18,54,7%,83,634,54,7%,17,8,,1,,8,,,,1,6%,1,15,1,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,AK,6/3/20 15:10,6/3/20 22:19,505,301,14,,49,54,15,16,12,44,9%,41,404,60,12%,10,5,0,,2,2,1,0,0,0,0%,0,10,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,AL,6/3/20 0:00,6/3/20 22:21,18851,7031,7774,,85,,,,805,3154,17%,1666,12958,4224,22%,653,330,286,,3,,,,8,26,4%,12,564,77,12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,AR,6/3/20 19:40,6/3/20 22:41,8067,3816,2515,,80,27,346,,628,655,8%,1356,6711,655,8%,142,80,46,,1,,3,,8,,0%,5,133,4,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,AS,5/2/20 6:16,5/3/20 23:51,,,,,,,,,,,100%,,,,100%,,,,,,,,,,0,100%,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,AZ,6/3/20 0:00,6/3/20 22:44,22223,5195,773,5235,230,3143,,,629,7018,32%,5235,9970,7018,32%,981,465,29,159,12,183,,,17,116,12%,159,706,116,12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,CA,6/2/20 0:00,6/3/20 22:54,117687,16402,4298,44975,7387,173,652,638,8626,34536,29%,44975,38176,34536,29%,4361,1395,414,1631,613,14,31,26,32,205,5%,1631,2525,205,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,CO,6/3/20 0:00,6/3/20 22:57,27060,9281,1580,10196,719,140,110,170,248,4611,17%,10196,12248,4611,17%,1494,935,102,292,53,8,5,10,8,76,5%,292,1121,76,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,CT,6/2/20 20:30,6/3/20 22:27,43091,14814,5573,7766,633,,,,232,13927,32%,7766,14814,13927,38%,3989,2908,592,339,41,,,,16,65,2%,339,2908,65,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,DC,6/2/20 0:00,6/3/20 22:47,9016,1364,4164,,106,26,22,,2281,1053,12%,2372,5010,1634,18%,473,52,356,54,7,,,,4,0,0%,54,419,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,DE,6/2/20 18:00,6/3/20 22:50,9712,2809,2565,2724,149,,,,487,978,10%,2724,6010,978,10%,375,226,99,24,1,,,,4,21,6%,24,330,21,6%,22541,11313,4188,809,,,,2966,13391,24%,4188,37629,13391,24%,,,,,,,,,,,,,,,,,,,
20200603,FL,6/3/20 10:00,6/3/20 22:52,58764,15738,11289,20658,,,,,2189,8890,15%,20658,27229,10877,19%,2566,1290,534,578,,,,,84,80,3%,578,1808,180,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,GA,6/3/20 15:00,6/3/20 23:16,48894,12264,15559,6476,704,37,33,,965,12856,26%,6476,24637,17781,36%,2123,948,1033,88,31,3,4,,5,11,1%,88,2008,27,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,GU,6/3/20 22:00,6/3/20 23:24,179,6,,,84,,82,,4,3,2%,,,,0%,5,,,,,,,,,5,100%,,,5,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,HI,5/29/20 18:00,6/3/20 23:41,653,200,6,,224,,109,54,12,48,7%,,,,,17,,,,,,,,,17,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,IA,6/3/20 0:00,6/3/20 23:32,20373,12021,2241,,1833,,,,4278,,0%,5501,11613,3260,16%,574,453,28,,28,,,,63,,0%,34,464,74,13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,ID,6/3/20 19:00,6/3/20 22:26,2990,1548,53,,44,44,9,137,332,817,27%,671,1409,909,30%,83,80,1,,2,,,,,0,0%,4,79,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,IL,6/3/20 0:00,6/3/20 23:01,123830,24128,20506,39339,3556,193,301,,4496,31311,25%,39339,53180,31311,25%,5621,2441,1646,1094,266,8,5,,42,42,1%,1094,4408,119,2%,213074,63087,50662,11056,511,773,,28433,467749,56%,50662,288501,467749,58%,,,,,,,,,,,,,,,,,,,
20200603,IN,6/2/20 23:59,6/3/20 23:06,35712,15998,4856,,535,,,,6571,7785,22%,4106,12070,19534,55%,2032,1324,314,,8,,,,247,136,7%,38,1127,867,43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,KS,6/3/20 13:30,6/3/20 23:12,10170,6291,995,,639,63,,,275,1907,19%,4393,4007,1770,17%,222,148,61,,5,1,,,1,6,3%,24,188,10,5%,50218,4424,,1107,421,,,4791,39245,39%,6982,45968,47256,47%,,,,,,,,,,,,,,,,,,,
20200603,KY,6/3/20 16:31,6/3/20 23:16,10410,5376,1049,,382,12,15,408,,3168,30%,1110,5908,3392,33%,450,321,69,,7,,,8,,45,10%,12,370,68,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,LA,6/1/20 0:00,6/3/20 23:24,41133,,,,,,,,,41133,100%,,,,,2870,1217,1510,,21,1,2,,18,101,4%,53,2392,425,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,MA,6/3/20 10:00,6/3/20 23:28,101592,26921,9244,18692,1930,,,,4673,40128,40%,18692,42768,40128,40%,7152,2989,350,464,128,,,,228,2982,42%,464,3695,2982,42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,MD,6/3/20 10:00,6/3/20 23:38,54982,10757,15856,14155,1048,,,,2765,10401,19%,14155,30426,10401,19%,2641,1118,1085,245,104,,,,33,56,2%,245,2340,56,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,ME,6/3/20 12:45,6/3/20 22:24,2418,1459,453,,35,4,,11,49,407,17%,65,1740,613,25%,95,,,,,,,,,95,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,MI,6/3/20 15:00,6/3/20 22:30,58035,21472,17990,,1160,290,,4062,2901,9285,16%,4062,36562,17410,30%,5570,2840,2228,,55,27,,111,111,222,4%,111,4567,891,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,MN,6/3/20 12:00,6/3/20 22:40,25870,8995,5797,,1582,208,44,505,3185,5554,21%,5254,14535,6081,24%,1086,665,66,,30,13,1,6,8,307,28%,26,704,356,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,MO,6/3/20 15:00,6/3/20 22:54,13767,5884,4299,,,,,331,846,2396,17%,1166,9109,3491,25%,786,452,276,,,,,6,19,30,4%,16,672,96,12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,MP,6/3/20 0:00,6/3/20 22:58,24,,,,,,,,,24,100%,,,,,2,,,,,,,,,2,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,MS,6/2/20 19:00,6/3/20 23:06,16322,4570,8805,923,57,772,,,527,668,4%,923,12834,2565,16%,782,333,401,10,0,33,,,3,2,0%,10,733,39,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,MT,5/29/20 0:00,6/3/20 23:20,525,446,2,,1,58,,,4,14,3%,25,470,30,6%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,NC,6/3/20 11:41,6/3/20 23:11,30777,12165,6571,,629,214,86,,2998,8114,26%,8390,13028,9359,30%,939,523,303,,12,6,3,,41,51,5%,56,730,153,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,ND,6/3/20 13:00,6/3/20 22:17,2679,,,,,,,,,2679,100%,,,,,66,,,,,,,,,66,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,NE,6/3/20 21:00,6/3/20 22:29,14866,,,,,,,,,14866,100%,,,,,187,,,,,,,,,187,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,NH,6/3/20 0:00,6/3/20 22:28,4795,2617,232,338,114,,,,263,1231,26%,338,3226,1231,26%,265,147,4,8,2,,,,12,92,35%,8,165,92,35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,NJ,6/2/20 10:00,6/3/20 22:38,162068,32150,15671,27358,4597,,,,10975,71317,44%,27358,63393,71317,44%,11880,6092,2114,2229,617,,,,377,902,7%,2229,9200,902,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,NM,6/3/20 20:02,6/3/20 22:50,8140,969,192,1978,51,4640,,,,310,4%,1978,5852,310,4%,375,,,,,,,,,375,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,NV,6/3/20 12:00,6/3/20 22:45,8935,2141,699,2491,683,46,,,,2875,32%,2491,3569,2875,32%,429,198,52,66,63,3,,,,74,16%,66,316,74,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,NY,6/3/20 13:00,6/3/20 22:43,374085,,,,,,,,,374085,100%,,,,,24079,7814,5750,6015,1573,,,,1728,1199,5%,6015,16865,1199,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,OH,6/3/20 14:00,6/3/20 23:00,36792,18790,9139,,1018,42,97,1395,2722,3589,10%,2694,25264,8834,24%,2299,1807,392,,20,,,26,16,36,2%,42,2198,59,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,OK,6/2/20 0:00,6/3/20 22:30,6805,4435,639,,188,429,,,279,835,12%,1374,4486,945,14%,341,264,27,,2,23,,,8,17,5%,10,300,31,9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,OR,6/3/20 0:00,6/3/20 22:45,4399,2115,119,,152,94,76,78,1293,472,11%,1502,2462,435,10%,159,114,6,,7,3,1,2,11,15,9%,16,119,24,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,PA,6/2/20 12:00,6/3/20 23:37,73405,20563,9071,,1082,,,,463,42226,58%,5000,13100,55305,75%,5742,3958,1116,,133,,,,257,278,5%,304,5160,278,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,PR,6/3/20 5:53,6/3/20 22:58,4023,,,,,,,,,4023,100%,,,,,140,,,,,,,,,140,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,RI,6/3/20 12:04,6/3/20 22:37,15219,4052,1399,5009,,,,287,416,4056,27%,5009,6154,4056,27%,742,507,37,69,,,,0,7,122,16%,69,551,122,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,SC,6/2/20 16:00,6/3/20 23:05,12651,4588,4812,,223,,,,783,2354,18%,1359,7931,3360,27%,518,244,204,,4,,,,4,59,11%,9,404,109,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,SD,6/3/20 11:45,6/3/20 23:07,5162,1595,917,903,599,541,,,607,0,0%,903,4259,0,,62,,,,,,,,,62,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,TN,6/3/20 15:00,6/3/20 23:11,24822,10589,5472,,423,,,,3546,4792,19%,5613,11937,7272,29%,388,214,131,,7,,,,21,15,4%,28,333,27,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,TX,6/3/20 11:45,6/3/20 22:20,68271,4130,2389,5981,501,,,,96,55174,81%,5981,7116,55174,81%,1734,183,67,123,6,,,,1,1354,78%,123,257,1354,78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,UT,6/3/20 15:00,6/3/20 22:33,10497,3873,332,,255,351,416,,1216,1031,14%,4190,5276,1031,10%,117,,,,,,,,,117,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,VA,6/2/20 17:00,6/3/20 22:37,46905,14647,6614,,,,,,10538,15106,32%,15257,15500,16148,34%,1428,787,286,,,,,,169,186,13%,128,1011,289,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,VI,6/3/20 8:03,6/3/20 22:39,70,,,,,,,,,70,100%,,,,,6,,,,,,,,,6,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,VT,6/3/20 10:35,6/3/20 22:46,990,901,35,,12,1,,,11,30,3%,27,859,104,11%,55,52,,,2,,,,1,0,0%,0,55,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,WA,6/3/20 2:59,6/3/20 22:52,22484,6150,1061,6474,1173,220,404,286,307,6409,29%,6474,9601,6409,29%,1135,754,33,112,101,11,9,15,23,77,7%,112,946,77,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,WI,6/3/20 0:00,6/3/20 22:55,19400,10114,3726,,706,212,,,2535,2107,11%,6535,10531,2334,12%,616,418,153,,17,9,,,6,13,2%,60,542,14,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,WV,6/3/20 17:00,6/3/20 23:04,2077,1644,142,,,,,,291,0,0%,,,,,78,58,3,,,,,,,17,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,WY,6/3/20 17:41,6/3/20 23:02,703,338,7,80,4,241,,,18,54,7%,80,608,54,7%,17,,,,,,,,,17,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,AK,5/31/20 17:15,5/31/20 22:14,460,274,13,,46,41,15,16,12,43,9%,40,366,54,12%,10,5,0,,2,2,1,0,0,0,0%,0,10,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,AL,5/31/20 0:00,5/31/20 22:31,18241,6861,7534,,86,,,,776,2983,16%,1612,12607,4021,22%,632,318,278,,3,,,,7,26,4%,12,543,77,12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,AR,5/31/20 16:13,5/31/20 22:38,7253,3463,2372,,74,26,295,,485,538,7%,1031,6222,538,7%,133,76,46,,1,,3,,7,,0%,5,128,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,AS,,5/31/20 22:39,,,,,,,,,,,100%,,,,100%,,,,,,,,,,,100%,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,AZ,5/31/20 0:00,5/31/20 22:49,19936,4972,733,4715,207,2970,,,543,5796,29%,4715,9425,5796,29%,906,444,29,142,12,170,,,14,95,10%,142,669,95,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,CA,5/31/20 0:00,5/31/20 22:55,110583,15843,4137,42897,7209,161,612,617,7163,31944,29%,42897,35742,31944,29%,4213,1333,397,1545,591,14,28,26,32,247,6%,1545,2421,247,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,CO,5/30/20 0:00,5/31/20 23:07,26378,8989,1540,9730,685,131,108,168,237,4787,18%,9730,11858,4787,18%,1445,919,97,280,54,7,6,9,6,63,4%,280,1098,63,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,CT,5/30/20 20:30,5/31/20 23:12,42201,14247,5355,7434,609,,,,222,14194,34%,7434,14247,14194,40%,3944,2879,582,340,37,,,,13,66,2%,340,2879,66,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,DC,5/30/20 0:00,5/31/20 23:18,8801,1346,4097,,106,26,22,,2232,972,11%,2328,4927,1546,18%,466,52,349,54,7,,,,4,0,0%,54,412,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,DE,5/30/20 18:00,5/31/20 22:22,9498,2730,2520,2623,141,,,,480,1004,11%,2623,5871,1004,11%,366,220,97,23,1,,,,4,21,6%,23,322,21,6%,21280,10545,3713,762,,,,2816,12057,24%,3713,35403,12057,24%,,,,,,,,,,,,,,,,,,,
20200531,FL,5/31/20 10:00,5/31/20 22:34,56163,15255,10782,19598,,,,,2112,8416,15%,19598,26202,10363,18%,2451,1228,520,543,,,,,80,80,3%,543,1730,178,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,GA,5/31/20 19:00,5/31/20 22:57,47063,11660,15064,5936,667,36,31,,976,12693,27%,5936,23667,17460,37%,2053,916,1001,83,31,3,4,,5,10,0%,83,1947,23,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,GU,5/31/20 22:00,5/31/20 23:06,175,6,,,82,,81,,3,3,2%,,,,0%,5,,,,,,,,,5,100%,,,5,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,HI,5/29/20 18:00,5/31/20 23:19,652,200,6,,224,,109,54,12,47,7%,,,,,17,,,,,,,,,17,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,IA,6/1/20 0:00,5/31/20 23:43,19619,11380,2158,,1765,,,,4316,,0%,5101,11183,3335,17%,535,411,26,,26,,,,69,,0%,32,422,74,14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,ID,5/30/20 0:00,6/1/20 0:03,2839,1460,46,,44,34,7,134,308,803,28%,603,1347,888,31%,82,79,1,,2,,,,,0,0%,4,78,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,IL,5/31/20 0:00,6/1/20 0:07,120260,23426,19939,37707,3465,191,294,,4420,30818,26%,37707,51735,30818,26%,5390,2324,1588,1050,257,8,4,,39,39,1%,1050,4220,120,2%,197542,58711,44648,10403,464,712,,26909,438610,56%,44648,267832,438610,58%,,,,,,,,,,,,,,,,,,,
20200531,IN,5/30/20 23:59,6/1/20 0:10,34574,14797,4529,,484,,,,5912,8850,26%,3941,11720,18911,55%,1967,1272,298,,9,,,,239,147,7%,35,1101,830,42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,KS,5/29/20 13:30,5/31/20 22:18,9719,6000,959,,601,51,,,250,1858,19%,4183,3832,1704,18%,208,138,59,,4,1,,,1,5,2%,21,178,9,4%,44070,3895,,967,369,,,4186,33561,39%,6209,40234,40605,47%,,,,,,,,,,,,,,,,,,,
20200531,KY,5/30/20 17:00,5/31/20 22:38,9704,5082,1007,,361,6,8,380,,2860,29%,1012,5588,3104,32%,431,305,68,,6,,,6,,46,11%,9,356,66,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,LA,5/25/20 0:00,5/31/20 22:42,39916,,,,,,,,,39916,100%,,,,,2791,1158,1468,,21,2,2,,19,121,4%,51,2273,467,17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,MA,5/31/20 10:00,5/31/20 22:47,96965,25307,8726,18132,1842,,,,4460,38592,40%,18132,40335,38592,40%,6846,2861,342,431,130,,,,225,2854,42%,431,3558,2854,42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,MD,5/31/20 10:00,5/31/20 22:50,52778,10299,15188,13377,997,,,,2654,10263,19%,13377,29138,10263,19%,2532,1075,1035,233,99,,,,31,59,2%,233,2240,59,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,ME,5/27/20 14:00,5/31/20 22:52,2325,1303,350,,29,3,,10,49,581,25%,61,1469,795,34%,89,,,,,,,,,89,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,MI,5/31/20 11:00,5/31/20 22:57,57397,21236,17793,,1147,286,,4591,2869,9183,16%,4017,36160,17219,30%,5491,2800,2196,,54,27,,109,109,219,4%,109,4447,878,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,MN,5/30/20 17:00,5/31/20 23:01,24850,8529,5569,,1397,204,47,476,2929,5699,23%,4908,13774,6168,25%,1040,634,62,,26,12,0,4,6,296,28%,25,675,340,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,MO,5/31/20 15:00,5/31/20 23:15,13147,5654,4142,,,,,312,774,2256,17%,1083,8730,3332,25%,772,443,272,,,,,7,18,29,4%,16,658,96,12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,MP,5/31/20 0:00,5/31/20 22:14,22,,,,,,,,,22,100%,,,,,2,,,,,,,,,2,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,MS,5/30/20 19:00,5/31/20 22:18,15501,4392,8363,878,56,664,,,534,614,4%,878,12100,2523,16%,734,316,374,10,0,28,,,4,2,0%,10,689,35,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,MT,5/31/20 12:00,5/31/20 22:26,515,441,2,,1,53,,,4,14,3%,21,466,28,5%,16,12,,,,4,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,NC,5/28/20 16:00,5/31/20 22:36,28589,11370,6266,,605,205,77,,2583,7483,26%,7575,12324,8690,30%,886,498,288,,11,4,2,,37,46,5%,48,697,141,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,ND,5/31/20 13:00,5/31/20 22:37,2577,,,,,,,,,2577,100%,,,,,61,,,,,,,,,61,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,NE,5/31/20 19:45,5/31/20 22:41,14101,,,,,,,,,14101,100%,,,,,170,,,,,,,,,170,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,NH,5/18/20 0:00,5/31/20 22:51,4651,1981,150,233,80,,,,253,1954,42%,233,2464,1954,42%,245,88,0,4,0,,,,10,143,58%,4,98,143,58%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,NJ,5/30/20 10:00,5/31/20 22:59,160445,31593,15376,26773,4504,,,,10715,71484,45%,26773,62188,71484,45%,11698,6014,2087,2200,621,,,,384,776,6%,2200,9106,776,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,NM,5/31/20 17:30,5/31/20 23:04,7689,910,187,1846,48,4433,,,,265,3%,1846,5578,265,3%,356,,,,,,,,,356,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,NV,5/31/20 11:30,5/31/20 23:09,8593,2026,678,2348,657,45,,,,2839,33%,2348,3406,2839,33%,421,194,52,67,62,3,,,,66,15%,67,311,66,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,NY,5/31/20 13:00,5/31/20 22:23,370770,,,,,,,,,370770,100%,,,,,23905,7755,5723,5958,1565,,,,1726,1178,5%,5958,16769,1178,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,OH,5/31/20 0:00,6/1/20 12:33,35513,18091,8852,,937,39,95,1350,2575,3574,10%,2555,24120,8838,25%,2155,1697,367,,19,,,25,12,34,2%,39,2066,50,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
